"Name","Make","Model","Serial Number","Category","Location","Collection","Condition","Heir","Purchased From","Purchase Date","Price","Value","Quantity","ISBN/EAN Number","Tags","Common Name","Size","Notes","Photo Labels and Filenames","Receipt Labels and Filenames","Warranty Issuer 1","Warranty Type 1","Warranty Term 1","Warranty Contact 1","Warranty Notes 1","Note 1"
"Clavaria truncata",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,2/14/15,"$257.00",,"1",,,"club coral","3 1/2""h x 2 1/2""w",,"Clavaria truncata,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/4398CDD5-1DAA-4980-A153-4FBF69D2B70F.jpg",,,,,,,
"Clavaria vermicularis",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,3/13/15,,,"1",,,"fairy fingers, white worm coral, white spindles","5 1/2""h x 2 1/2""w",,"Clavaria vermicularis,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/628DC7BA-DE4F-44E8-AA7B-67E35ED0CEB8.jpg",,,,,,,
"Clitocybe clavipes",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,"club-footed clitocybe","2 1/4""h x 2 1/4""w","Ampulloclitocybe clavipes","Clitocybe clavipes,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/FADF0BEC-6890-400D-B5FD-C998341F9B0B.jpg",,,,,,,
"Clitocybe cyathiformis",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,10/5/14,"$123.50",,"1",,,"goblet mushroom","4 1/2""h x 4""w",,"Clitocybe cyathiformis,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/1CEB260D-7FBC-4D4F-909F-A0BE827534BE.jpg",,,,,,,
"Clitocybe illudens",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,11/15/17,"$335.25",,"1",,,"Jack-o-lantern mushroom","4 1/2"" tall x 4"" wide",,"Clitocybe illudens,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/A4702153-6D2F-444B-A65C-9F5CCE5BA7A6.jpg,Clitocybe illudens,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/69462614-846F-47DE-91FB-C0A3BE65E6D9.jpg",,,,,,,
"Clitocybe infornata",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,,,,"Clitocybe infornata,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/EAB47148-35A4-43D2-A7F4-6D3358C83BBE.jpg",,,,,,,
"Clitocybe multiceps",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,11/1/14,"$809.99",,"1",,,,"3""h x 3""w",,"Clitocybe multiceps,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/6210526A-9AA6-4D51-95ED-2DCAF7D5A88B.jpg",,,,,,,
"Clitocybe odora",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,3/13/15,,,"1",,,"aniseed toadstool","3 1/4""h x 4 1/2""w",,"Clitocybe odora,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/4E56A95B-E70C-40F3-A5BB-B5E1380E7A46.jpg",,,,,,,
"Clitopilus orcella",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,3/21/14,"$300.00",,"1",,,"sweetbread mushroom, the miller","3""h x 3 1/2""w",,"Clitopilus orcella,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/44F2102A-90D4-4997-9B9A-06352469BF40.jpg",,,,,,,
"Collybia velutipes",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,,,,",/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/FF6FD53E-468B-4C8F-8F18-A32CFEEFC7E7.jpg",,,,,,,
"Coprinus comatus (medium)",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,3/21/12,"$165.50",,"1",,,"shaggy ink cap, lawyer's wig, shaggy mane","5""h x 3 1/2""w",,"Coprinus comatus (medium),/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/A5B8B9FB-00E1-4F32-A3E9-E64A57695892.jpg",,,,,,,
"Coprinus comatus (tall)",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,11/14/14,"$1,150.00",,"1",,,"shaggy ink cap, lawyer's wig, shaggy mane","6 1/4""h x 4""w",,"Coprinus comatus (tall),/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/4101EBBD-6F06-47ED-A679-8F50B5A9764B.jpg",,,,,,,
"Coprinus insignis",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,3/13/15,,,"1",,,,"4 1/2""h x 3""w",,"Coprinus insignis,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/1578CEC7-BB5D-4713-9E76-2B240A8CAF52.jpg",,,,,,,
"Coprinus micaceus",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,"mica cap, shiny cap, glistening inky cap","3 1/2""h x 3""w","Nelle Tuggle purchase now known as coprinellus micaceus","Coprinus micaceus,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/2459863A-25D5-44B3-90AD-DEDF0852E57D.jpg",,,,,,,
"Coprinus quadrifidus",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,3/21/12,"$165.50",,"1",,,"scaly ink cap, felt scale inky cap",,"Copirnopsis variegata","Coprinus quadrifidus,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/6C615F14-4046-46D7-A212-C4BF314B1B4D.jpg",,,,,,,
"Coprinus solibiformis",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,,"3 1/2""h x 2 1/2""w","unknown mushroom","Coprinus solibiformis,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/9BD72E24-6482-4951-8C08-C2EE35D7DCAA.jpg",,,,,,,
"Cortinarius armillatus",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,"red-banded cortinarius","6""h x 5""w",,"Cortinarius armillatus,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/7EC95316-C4FD-4C1B-963B-651DF4574AED.jpg",,,,,,,
"Cortinarius cinnamoneus",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,3/13/15,,,"1",,,"Cinnamon webcap","3 1/2""h x 3""w",,"Cortinarius cinnamoneus,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/564836A8-B2B3-4BFD-9D58-F2865D941318.jpg",,,,,,,
"Cortinarius traganus",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,9/28/14,"$889.99",,"1",,,"gassy webcap","3""h x 3""w",,"Cortinari traganus,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/080B500D-994E-44E2-B23D-65ABDD1F6567.jpg",,,,,,,
"Cortinarius violaceus (small)",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,,"2 1/2""h x 3""w","probably immature","Cortinarius violaceus (small),/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/A85A0F45-4AC7-4986-AAD0-1D6C58074091.jpg",,,,,,,
"Cortinarius violaceus (tall)",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,3/13/15,,,"1",,,,"4 1/2""h x 4""w","probably mature","Cortinarius violaceus,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/6D6EFA66-4A90-4B50-86B9-461DE9FDB5B9.jpg",,,,,,,
"Craterellus cinerus",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,"ashen chanterelle",,,",/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/ECE114C3-6FE6-4D35-B25D-D4405A3388D4.jpg",,,,,,,
"Craterellus cornucopioides",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,11/14/14,"$480.00",,"1",,,"horn of plenty","4""h x 4""w",,"Craterellus cornucopioides,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/71EA1E68-BE1A-4EF5-8DC6-BCEC35EAB26F.jpg",,,,,,,
"Craterellus flocossus",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,"shaggy-, scaly- or wooly chanterelle or wooly gomphus","4""h x 3""w",,"Craterellus flocossus,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/B5883C82-53A0-4C60-8042-8BD530B1CA65.jpg",,,,,,,
"Craterellus flocossus (tall)",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,9/6/14,"$393.99",,"1",,,"shaggy-, scaly- or wooly chanterelle or wooly gomphus","6""h x 5 1/2""w",,"Craterellus flocossus (tall),/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/72ED495D-3792-4DFB-856E-6999460F1A6B.jpg",,,,,,,
"Craterellus lutescens",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,11/14/14,"$300.00",,"1",,,"yellow foot","4""h x 4""w",,"Craterellus lutescens,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/2EDD6F8D-47E0-471E-9223-0C9542F634EA.jpg",,,,,,,
"Crucibulum vulgare",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,3/13/15,,,"1",,,"splash cups","1 1/2""h x 2 1/2""w",,"Crucibulum vulgare,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/CDD09298-42A6-4192-B398-0A97DBB43DAE.jpg",,,,,,,
"Cyathus striatus",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,2/16/13,"$257.05",,"1",,,"fluted bird's nest","2""h x 2 1/2""w",,"Cyathus striatus,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/5F601DFE-7981-4E08-A247-4520C750FB56.jpg",,,,,,,
"Entoloma Grayanum",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,1/31/17,"$171.00",,"1",,,,"2""h x 2 1/2""w","part of seven mushroom group purchased on Ebay","Entoloma Grayanum,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/8490C679-8C6E-4B59-BE60-1FC13C6D683F.jpg,Entoloma Grayanum,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/DB27AB0F-058F-423D-B894-C776C18D8652.jpg,Entoloma Grayanum,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/C0EABABF-7C54-46DC-A5A6-13AC6AC2A4DD.jpg",,,,,,,
"Entoloma salmoneum",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,11/14/14,"$440.00",,"1",,,"salmon unicorn entoloma","3 1/2""h x 3 1/2""w",,"Entoloma salmoneum,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/9C0C07AC-123F-423C-AF70-A883ADD9241F.jpg",,,,,,,
"Galera laterita",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,,"4""h x 2 1/2""w",,"Galera laterita,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/932F89FF-2625-4815-B705-297585992E63.jpg",,,,,,,
